FullID,Value,Unit,Description
WP2MMMTC2001,750,,Cell Line Open Check Upper Limit
WP2MMMTC2002,650,,Cell Line Open Check Lower Limit
WP2MMMTC2003,3,,Rest Time before discharge
WP2MMMTC2004,120,,Discharge Current
WP2MMMTC2005,10,,Discharge Time
WP2MMMTC2006,125,,Discharge Current Upper Limit
WP2MMMTC2007,30,,Rest Time after discharge 
WP2MMMTC2008,120,,Charge Current
WP2MMMTC2009,10,,Charge Time 
WP2MMMTC2010,125,,Charge Current Upper Limit
WP2MMMTC2011,1,,Rest Time after charge 
WP2MMMTC2012,50.4,,Safety Voltage Upper Limit
WP2MMMTC2013,36,,Safety Voltage Lower Limit
WP2MMMTC2014,0.155,,Cell DCIR1
WP2MMMTC2015,0,,Cell DCIR2
WP2MMMTC2016,1.86,,Module DCIR1
WP2MMMTC2017,0,,Module DCIR2
