GroupContents,singleContents,clctitem,MIN Value,MAX Value,Types,digit length,SingleMethodName,isUse,BT6
BarcodeReading,BarcodeReading,,0,0,,0,BarcodeReading,1,1
Probe Contact Check,Contact Check(Bushing),WP2MMMTQ1001,2,200,nF,1,ContactCheck_Bushing,1,1
Probe Contact Check,Contact Check(Cooling plate),WP2MMMTQ1002,2,200,nF,1,ContactCheck_CoolingPlate,1,1
IR Check Plus,(+) Terminal Insulation resistance(HV Bushing),WP2MMMTQ1003,40,999999,Mohm,0,IR_Plus_Bushing,1,1
IR Check Plus,(+) Terminal Insulation resistance(HV Cooling plate),WP2MMMTQ1004,40,999999,Mohm,0,IR_Plus_Cooling_Plate,1,1
IR Check Minus,(-) Terminal Insulation resistance(HV Bushing),WP2MMMTQ1005,40,999999,Mohm,0,IR_Minus_Bushing,1,1
IR Check Minus,(-) Terminal Insulation resistance(HV Cooling plate),WP2MMMTQ1006,40,999999,Mohm,0,IR_Minus_Cooling_Plate,1,1
Probe Contact Check 2,Contact Check(Bushing)2,WP2MMMTQ1007,2,200,nF,1,ContactCheck_Bushing,1,1
Probe Contact Check 2,Contact Check(Cooling plate)2,WP2MMMTQ1008,2,200,nF,1,ContactCheck_CoolingPlate,1,1
Cl Probe Contact Check,Contact Check(Bushing) Cl,WP2MMMTQ1009,2,200,nF,,CL_0,1,1
Cl Probe Contact Check,Contact Check(Cooling plate) Cl,WP2MMMTQ1010,2,200,nF,,CL_1,1,1
Cl IR Check Plus,(+) Terminal Insulation resistance(HV Bushing) Cl,WP2MMMTQ1011,800,10000,Mohm,,CL_2,1,1
Cl IR Check Plus,(+) Terminal Insulation resistance(HV Cooling plate) Cl,WP2MMMTQ1012,40,999999,Mohm,,CL_3,1,1
Cl IR Check Minus,(-) Terminal Insulation resistance(HV Bushing) Cl,WP2MMMTQ1013,40,999999,Mohm,,CL_4,1,1
Cl IR Check Minus,(-) Terminal Insulation resistance(HV Cooling plate) Cl,WP2MMMTQ1014,40,999999,Mohm,,CL_5,1,1
Cl Probe Contact Check 2,Contact Check(Bushing)2 Cl,WP2MMMTQ1015,2,200,nF,,CL_6,1,1
Cl Probe Contact Check 2,Contact Check(Cooling plate)2 Cl,WP2MMMTQ1016,2,200,nF,,CL_7,1,1
