FullID,Value,Unit,Description
WP2MMMTC2001,0,,Cell Line Open Check Upper Limit
WP2MMMTC2002,0,,Cell Line Open Check Lower Limit
WP2MMMTC2003,0,,Rest Time before discharge
WP2MMMTC2004,0,,Discharge Current
WP2MMMTC2005,0,,Discharge Time
WP2MMMTC2006,0,,Discharge Current Upper Limit
WP2MMMTC2007,0,,Rest Time after discharge 
WP2MMMTC2008,0,,Charge Current
WP2MMMTC2009,0,,Charge Time 
WP2MMMTC2010,0,,Charge Current Upper Limit
WP2MMMTC2011,0,,Rest Time after charge 
WP2MMMTC2012,0,,Safety Voltage Upper Limit
WP2MMMTC2013,0,,Safety Voltage Lower Limit
WP2MMMTC2014,0,,Cell DCIR1
WP2MMMTC2015,0,,Cell DCIR2
WP2MMMTC2016,0,,Module DCIR1
WP2MMMTC2017,0,,Module DCIR2
