GroupContents,singleContents,clctitem,MinVal,MaxVal,Unit,digit length,SingleMethodName,isUse(1/0),Audi Nor,Audi Mir,Pors Nor,Pors Mir,Mas Nor,Pors FL Nor,E_UP,Pors FL Mir,Mas M183,selfDiag1
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,1,0,0,0,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMPMTQ4601,0.8,20,nF,1,ConnectionCheck1,0,0,0,1,0,0,0,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMPMTQ4602,6500,60000,Mohm,3,InsulationResistance_fetch,1,0,0,1,0,0,0,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMPMTQ4603,0.8,20,nF,1,ConnectionCheck2,1,0,0,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,1,0,0,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMPMTQ4601,0.8,20,nF,1,ConnectionCheck1,0,0,0,0,1,0,0,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMPMTQ4602,0,60000,Mohm,3,InsulationResistance_fetch,1,0,0,0,1,0,0,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMPMTQ4603,0.8,20,nF,1,ConnectionCheck2,1,0,0,0,1,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,1,0,0,0,0,
Connection Check PLUS,Connection Check PLUS,WMPMTQ4701,0.84,100,nF,1,ConnectionCheck1,0,0,0,0,0,1,0,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WMPMTQ4702,0,60000,Mohm,3,InsulationResistance_fetch,1,0,0,0,0,1,0,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WMPMTQ4703,0.8,20,nF,1,ConnectionCheck2,1,0,0,0,0,1,0,0,0,0,
,,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,1,0,0,0,
Connection Check PLUS,Connection Check PLUS,WPFMMTQ4501,1.31,100,nF,1,ConnectionCheck1,0,0,0,0,0,0,1,0,0,0,
IR PLUS,Insulation Resistance Test PLUS,WPFMMTQ4502,1500,60001,Mohm,3,InsulationResistance_fetch,1,0,0,0,0,0,1,0,0,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WPFMMTQ4503,1.31,100,nF,1,ConnectionCheck2,1,0,0,0,0,0,1,0,0,0,
,,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,0,0,1,0,
Connection Check PLUS,Connection Check PLUS,WPFMMTQ4501,1.31,100,nF,1,ConnectionCheck1,0,0,0,0,0,0,0,0,1,0,
IR PLUS,Insulation Resistance Test PLUS,WPFMMTQ4502,1500,60001,Mohm,3,InsulationResistance_fetch,1,0,0,0,0,0,0,0,1,0,
Connection Check 2 PLUS,Connection Check 2 PLUS,WPFMMTQ4503,1.31,100,nF,1,ConnectionCheck2,1,0,0,0,0,0,0,0,1,0,
,,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,0,0,0,1,
Connection Check PLUS,Connection Check PLUS,WM183MMTQ4501,1,2,nF,1,ConnectionCheck1,0,0,0,0,0,0,0,0,0,1,
IR PLUS,Insulation Resistance Test PLUS,WM183MMTQ4502,2,3,Mohm,3,InsulationResistance_fetch,1,0,0,0,0,0,0,0,0,1,
Connection Check 2 PLUS,Connection Check 2 PLUS,WM183MMTQ4503,3,4,nF,1,ConnectionCheck2,1,0,0,0,0,0,0,0,0,1,
