id,VALUE,unit,description
WM183MMTC4401,31,sec,Rest Time before discharge
WM183MMTC4402,2401,A,Discharge Current
WM183MMTC4403,101,sec,Discharge Time
WM183MMTC4404,2451,A,Discharge Current Upper Limit
WM183MMTC4405,301,sec,Rest Time after discharge 
WM183MMTC4406,2401,A,Charge Current
WM183MMTC4407,101,sec,Charge Time 
WM183MMTC4408,2451,A,Charge Current Upper Limit
WM183MMTC4409,11,sec,Rest Time after charge 
WM183MMTC4410,25.21,V,Safety Voltage Upper Limit
WM183MMTC4411,181,V,Safety Voltage Lower Limit
WM183MMTC4412,0.005781,,Cell DCIR Fomula1
WM183MMTC4413,1,,Cell DCIR Fomula2
WM183MMTC4414,0.034681,,Module DCIR Fomula1
WM183MMTC4415,1,,Module DCIR Fomula1
