GroupContents,singleContents,CLCT_ITEM,CLCT_LSL,CLCT_USL,Unit,digit length,SingleMethodName,isUse(1/0),Audi Nor,Audi Mir,Pors Nor,Pors Mir,Mas Nor,Pors FL Nor,E_UP,Pors FL Mir,Mas M183,selfDiag1
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,1,0,0,0,0,0,0,0,0,
Voltages,Cell1 Voltage,WMAMTQ4404,3.575,3.605,V,4,CellVoltage1,1,1,0,0,0,0,0,0,0,0,
Voltages,Cell2 Voltage,WMAMTQ4405,3.575,3.605,V,4,CellVoltage2,1,1,0,0,0,0,0,0,0,0,
Voltages,Cell3 Voltage,WMAMTQ4406,3.575,3.605,V,4,CellVoltage3,1,1,0,0,0,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMAMTQ4407,0,5,mV,3,CellVoltageDeviation,1,1,0,0,0,0,0,0,0,0,
Voltages,Module Voltage,WMAMTQ4408,10.73,10.83,V,4,ModuleVoltage,1,1,0,0,0,0,0,0,0,0,
Cell Dev,Cell Voltage Devation Form Cell Inspection,WMAMTQ4416,-5,5,mV,1,CellVoltageDeviation_FromCellInspection,1,1,0,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMAMTQ4401,7.94,12.12,kOhm,3,ThermistorCheck1,1,1,0,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMAMTQ4402,7.94,12.12,kOhm,3,ThermistorCheck2,1,1,0,0,0,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMAMTQ4403,-999,999,C,3,ThermistorDeviation,1,1,0,0,0,0,0,0,0,0,
DCIR,Cell1 Discharge DCIR,WMAMTQ4409,0.275,0.4,mOhm,3,Cell1_DCIR,1,1,0,0,0,0,0,0,0,0,
DCIR,Cell2 Discharge DCIR,WMAMTQ4410,0.275,0.4,mOhm,3,Cell2_DCIR,1,1,0,0,0,0,0,0,0,0,
DCIR,Cell3 Discharge DCIR,WMAMTQ4411,0.275,0.4,mOhm,3,Cell3_DCIR,1,1,0,0,0,0,0,0,0,0,
DCIR,Cell Discharge DCIR Ratio,WMAMTQ4412,100,135,%,3,Cell_DCIR_Ratio,1,1,0,0,0,0,0,0,0,0,
DCIR,Cell Discharge DCIR Deviation,WMAMTQ4413,0,0.04,mOhm,3,Cell_DCIR_Deviation,1,1,0,0,0,0,0,0,0,0,
DCIR,Cell DCIR Inner Verification (OutMax-InMax),WMAMTQ4417,-99,99,mOhm,4,DCIR_Inner_Verification,1,1,0,0,0,0,0,0,0,0,
DCIR,Cell DCIR Outer Verification (OutMax-OutMin),WMAMTQ4418,-99,99,mOhm,4,DCIR_Outer_Verification,1,1,0,0,0,0,0,0,0,0,
DCIR,Module Discharge DCIR,WMAMTQ4414,0.95,1.2,mOhm,3,Module_DCIR,1,1,0,0,0,0,0,0,0,0,
DCIR,New Module Temp Check2,WMAMTQ4415,-999,999,C,3,DCIR_TempNewCheck2,1,1,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,1,0,0,0,0,0,0,0,
Voltages,Cell1 Voltage,WMAMTQ4404,3.575,3.605,V,4,CellVoltage1,1,0,1,0,0,0,0,0,0,0,
Voltages,Cell2 Voltage,WMAMTQ4405,3.575,3.605,V,4,CellVoltage2,1,0,1,0,0,0,0,0,0,0,
Voltages,Cell3 Voltage,WMAMTQ4406,3.575,3.605,V,4,CellVoltage3,1,0,1,0,0,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMAMTQ4407,0,5,mV,3,CellVoltageDeviation,1,0,1,0,0,0,0,0,0,0,
Voltages,Module Voltage,WMAMTQ4408,10.73,10.83,V,4,ModuleVoltage,1,0,1,0,0,0,0,0,0,0,
Cell Dev,Cell Voltage Devation Form Cell Inspection,WMAMTQ4416,-5,5,mV,1,CellVoltageDeviation_FromCellInspection,1,0,1,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMAMTQ4401,7.94,12.12,kOhm,3,ThermistorCheck1,1,0,1,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMAMTQ4402,7.94,12.12,kOhm,3,ThermistorCheck2,1,0,1,0,0,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMAMTQ4403,-999,999,C,3,ThermistorDeviation,1,0,1,0,0,0,0,0,0,0,
DCIR,Cell1 Discharge DCIR,WMAMTQ4409,0.275,0.4,mOhm,3,Cell1_DCIR,1,0,1,0,0,0,0,0,0,0,
DCIR,Cell2 Discharge DCIR,WMAMTQ4410,0.275,0.4,mOhm,3,Cell2_DCIR,1,0,1,0,0,0,0,0,0,0,
DCIR,Cell3 Discharge DCIR,WMAMTQ4411,0.275,0.4,mOhm,3,Cell3_DCIR,1,0,1,0,0,0,0,0,0,0,
