id,VALUE,unit,description
WMAMTC4401,3,sec,Rest Time before discharge
WMAMTC4402,244,A,Discharge Current
WMAMTC4403,10,sec,Discharge Time
WMAMTC4404,250,A,Discharge Current Upper Limit
WMAMTC4405,30,sec,Rest Time after discharge 
WMAMTC4406,244,A,Charge Current
WMAMTC4407,10,sec,Charge Time 
WMAMTC4408,250,A,Charge Current Upper Limit
WMAMTC4409,1,sec,Rest Time after charge 
WMAMTC4410,12.6,V,Safety Voltage Upper Limit
WMAMTC4411,9,V,Safety Voltage Lower Limit
WMAMTC4412,0.01125,,Cell DCIR Fomula1
WMAMTC4413,-0.000425,,Cell DCIR Fomula2
WMAMTC4414,0.03375,,Module DCIR Fomula1
WMAMTC4415,-0.001275,,Module DCIR Fomula2
WMAMTC4416,0.00004575,,Module DCIR Fomula3
WMAMTC4417,0.00001525,,Cell DCIR Fomula3
WMAMTC4418,750,,Line Open Check Upper limit
WMAMTC4419,650,,Line Open Check Lower limit
