id,VALUE,unit,description
WMPMTC4401,3,sec,Rest Time before discharge
WMPMTC4402,132,A,Discharge Current
WMPMTC4403,10,sec,Discharge Time
WMPMTC4404,135,A,Discharge Current Upper Limit
WMPMTC4405,30,sec,Rest Time after discharge 
WMPMTC4406,132,A,Charge Current
WMPMTC4407,10,sec,Charge Time 
WMPMTC4408,135,A,Charge Current Upper Limit
WMPMTC4409,1,sec,Rest Time after charge 
WMPMTC4410,25.2,V,Safety Voltage Upper Limit
WMPMTC4411,18,V,Safety Voltage Lower Limit
WMPMTC4412,0.0185,,Cell DCIR Fomula1
WMPMTC4413,-0.00093,,Cell DCIR Fomula2
WMPMTC4414,0.1110,,Module DCIR Fomula1
WMPMTC4415,-0.00555,,Module DCIR Fomula1
