GroupContents,singleContents,CLCT_ITEM,CLCT_LSL,CLCT_USL,Unit,digit length,SingleMethodName,isUse(1/0),Audi Nor,Audi Mir,Pors Nor,Pors Mir,Mas Nor,Pors FL Nor,E_UP,Pors FL Mir,selfDiag1
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,1,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMAMTQ4001,7.94,12.12,kOhm,3,ThermistorCheck1,1,1,0,0,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMAMTQ4002,7.94,12.12,kOhm,3,ThermistorCheck2,1,1,0,0,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMAMTQ4003,3,4,C,3,ThermistorDeviation,0,1,0,0,0,0,0,0,0,
Voltages,Cell1 Voltage,WMAMTQ4004,3.57,3.61,V,3,CellVoltage1,1,1,0,0,0,0,0,0,0,
Voltages,Cell2 Voltage,WMAMTQ4005,3.57,3.61,V,3,CellVoltage2,1,1,0,0,0,0,0,0,0,
Voltages,Cell3 Voltage,WMAMTQ4006,3.57,3.61,V,3,CellVoltage3,1,1,0,0,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMAMTQ4007,0,5,mV,3,CellVoltageDeviation,1,1,0,0,0,0,0,0,0,
Voltages,Module Voltage,WMAMTQ4008,10.73,10.83,V,3,ModuleVoltage,1,1,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,1,0,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMAMTQ4001,7.94,12.8,kOhm,3,ThermistorCheck1,1,0,1,0,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMAMTQ4002,7.94,12.8,kOhm,3,ThermistorCheck2,1,0,1,0,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMAMTQ4003,4,5,C,3,ThermistorDeviation,0,0,1,0,0,0,0,0,0,
Voltages,Cell1 Voltage,WMAMTQ4004,3.57,3.61,V,3,CellVoltage1,1,0,1,0,0,0,0,0,0,
Voltages,Cell2 Voltage,WMAMTQ4005,3.57,3.61,V,3,CellVoltage2,1,0,1,0,0,0,0,0,0,
Voltages,Cell3 Voltage,WMAMTQ4006,3.57,3.61,V,3,CellVoltage3,1,0,1,0,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMAMTQ4007,0,5,mV,3,CellVoltageDeviation,1,0,1,0,0,0,0,0,0,
Voltages,Module Voltage,WMAMTQ4008,10.73,10.83,V,3,ModuleVoltage,1,0,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,1,0,0,0,0,0,
H/W Version,H/W Version,WMPMTQ4001,777676,777676,,0,HW_Version,1,0,0,1,0,0,0,0,0,
Module Temperature,Module Temperature #1,WMPMTQ4002,17,33,C,0,ThermistorCheck1,1,0,0,1,0,0,0,0,0,
Module Temperature,Module Temperature #2,WMPMTQ4003,17,33,C,0,ThermistorCheck2,1,0,0,1,0,0,0,0,0,
Module Temperature,Temperature Deviation,WMPMTQ4005,-4,4,C,0,ThermistorDeviation,1,0,0,1,0,0,0,0,0,
Module Temperature,PCB Temp,WMPMTQ4004,13,36,C,0,PCBTemp,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing On Status Check,WMPMTQ4030,10101,10101,,0,CellEvenBalancingOn,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #2/4/6 Balancing Off Status Check,WMPMTQ4031,0,0,,0,CellEvenBalancingOff,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing On Status Check,WMPMTQ4032,101010,101010,,0,CellOddBalancingOn,1,0,0,1,0,0,0,0,0,
CMC Test 1,Cell #1/3/5 Balancing Off Status Check,WMPMTQ4033,0,0,,0,CellOddBalancingOff,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 1 Check,WMPMTQ4034,30,75,mV,1,HighContactResist1,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 2 Check,WMPMTQ4035,30,68,mV,1,HighContactResist2,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 3 Check,WMPMTQ4036,30,66,mV,1,HighContactResist3,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 4 Check,WMPMTQ4037,30,62,mV,1,HighContactResist4,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 5 Check,WMPMTQ4038,30,58,mV,1,HighContactResist5,1,0,0,1,0,0,0,0,0,
CMC Test 1,High contact resistance Cell 6 Check,WMPMTQ4039,30,61,mV,1,HighContactResist6,1,0,0,1,0,0,0,0,0,
Voltages,Cell1 Voltage,WMPMTQ4006,3.545,3.595,V,4,CellVoltage1,1,0,0,1,0,0,0,0,0,
Voltages,Cell2 Voltage,WMPMTQ4007,3.545,3.595,V,4,CellVoltage2,1,0,0,1,0,0,0,0,0,
Voltages,Cell3 Voltage,WMPMTQ4008,3.545,3.595,V,4,CellVoltage3,1,0,0,1,0,0,0,0,0,
Voltages,Cell4 Voltage,WMPMTQ4009,3.545,3.595,V,4,CellVoltage4,1,0,0,1,0,0,0,0,0,
Voltages,Cell5 Voltage,WMPMTQ4010,3.545,3.595,V,4,CellVoltage5,1,0,0,1,0,0,0,0,0,
Voltages,Cell6 Voltage,WMPMTQ4011,3.545,3.595,V,4,CellVoltage6,1,0,0,1,0,0,0,0,0,
Voltages,Cell Voltage Deviation,WMPMTQ4012,0,15,mV,1,CellVoltageDeviation,1,0,0,1,0,0,0,0,0,
Voltages,Module Voltage,WMPMTQ4013,21.029,21.457,V,3,ModuleVoltage,1,0,0,1,0,0,0,0,0,
Voltages,Cell1 Voltage deviation(CMC-Input Cell average),WMPMTQ4041,-15,15,mV,1,CellVoltage1_dev,1,0,0,1,0,0,0,0,0,
Voltages,Cell2 Voltage deviation(CMC-Input Cell average),WMPMTQ4042,-15,15,mV,1,CellVoltage2_dev,1,0,0,1,0,0,0,0,0,
Voltages,Cell3 Voltage deviation(CMC-Input Cell average),WMPMTQ4043,-15,15,mV,1,CellVoltage3_dev,1,0,0,1,0,0,0,0,0,
Voltages,Cell4 Voltage deviation(CMC-Input Cell average),WMPMTQ4044,-15,15,mV,1,CellVoltage4_dev,1,0,0,1,0,0,0,0,0,
Voltages,Cell5 Voltage deviation(CMC-Input Cell average),WMPMTQ4045,-15,15,mV,1,CellVoltage5_dev,1,0,0,1,0,0,0,0,0,
Voltages,Cell6 Voltage deviation(CMC-Input Cell average),WMPMTQ4046,-15,15,mV,1,CellVoltage6_dev,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Open Check,WMPMTQ4014,0,0,,0,BalanceSwitchOpen,1,0,0,1,0,0,0,0,0,
CMC Test 2,Balance Load Short Cell 1 Check,WMPMTQ4015,0,20,mV,1,BalanceSwitchShort1,1,0,0,1,0,0,0,0,0,
